"Monto","Fecha","Actividad","Direccion","Empleado","Sexo","Nivel_Estudio","Rango_Etareo","Descuento"
"2111,00","2019-06-04","Bienestar y Cuidado Corporal","Bv. Roca 111","LETICIA TORNERO","m","Tecnicatura Universitaria","Adultez",",00"
"2708,00","2019-06-06","Actividades al Aire Libre","Bv. Roca 111","VICTOR MANUEL CASTEJON","m","Tecnicatura Universitaria","Adultez",",00"
"1722,00","2019-06-07","Actividades Acuáticas","Bv. Roca 111","BERTA VALLE","m","Educacion Secundaria","Adultez",",00"
"2123,00","2019-06-08","Actividades Acuáticas","Bv. Roca 111","NURIA GUILLEN","f","Educacion Superior","Juventud",",00"
"1518,00","2019-06-09","Bienestar y Cuidado Corporal","Bv. Roca 111","SAID AMARO","f","Tecnicatura Universitaria","Adultez",",00"
"1547,00","2019-06-10","Bienestar y Cuidado Corporal","Bv. Roca 111","SUSANA SEBASTIAN","m","Educacion Primaria","Adultez",",00"
"2790,00","2019-06-11","Entrenamiento Especializado","Bv. Roca 111","ANTONIO LUIS SANJUAN","m","Educacion Primaria","Adultez",",00"
"2827,00","2019-06-11","Entrenamiento Especializado","Bv. Roca 111","SUSANA SEBASTIAN","m","Educacion Superior","Adultez",",00"
"1765,00","2019-06-12","Cardio y Acondicionamiento Físico","Bv. Roca 111","JUAN MANUEL RINCON","m","Educacion Superior","Adultez",",00"
"1310,00","2019-06-13","Cardio y Acondicionamiento Físico","Bv. Roca 111","BERTA VALLE","f","Tecnicatura Universitaria","Adultez",",00"
"2112,00","2019-06-14","Deportes","Bv. Roca 111","ARTURO RAYA","m","Doctorado","Juventud",",00"
"2253,00","2019-06-14","Actividades al Aire Libre","Bv. Roca 111","NURIA GUILLEN","m","Licenciatura","Juventud",",00"
"2662,00","2019-06-15","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","BELEN GRANADO","m","Maestria","Juventud",",00"
"1405,00","2019-06-15","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","MARTA FALCON","f","Educacion Primaria","Adultez",",00"
